,precision,recall,f1-score,support
0,0.9993536179764717,0.9967997936863329,0.9980750721847931,85307.0
1,0.2288135593220339,0.5955882352941176,0.3306122448979592,136.0
accuracy,0.9961611834790445,0.9961611834790445,0.9961611834790445,0.9961611834790445
macro avg,0.6140835886492528,0.7961940144902253,0.6643436585413761,85443.0
weighted avg,0.9981271459661608,0.9961611834790445,0.9970126686583368,85443.0
