,precision,recall,f1-score,support
0,0.9996412770536889,0.9799899187639936,0.9897180605787956,85307.0
1,0.05846662989520132,0.7794117647058824,0.10877373011800924,136.0
accuracy,0.9796706576314034,0.9796706576314034,0.9796706576314034,0.9796706576314034
macro avg,0.5290539534744451,0.8797008417349379,0.5492458953484024,85443.0
weighted avg,0.9981432052161652,0.9796706576314034,0.9883158576020431,85443.0
