,precision,recall,f1-score,support
0,0.998924248155854,0.99055177183584,0.9947203927039006,85307.0
1,0.052878965922444184,0.33088235294117646,0.0911854103343465,136.0
accuracy,0.9895017731118991,0.9895017731118991,0.9895017731118991,0.9895017731118991
macro avg,0.5259016070391491,0.6607170623885082,0.5429529015191236,85443.0
weighted avg,0.9974184237069964,0.9895017731118991,0.9932822320868546,85443.0
